iter	Logloss
0	0.6392289526
1	0.5982465437
2	0.5631619433
3	0.5363619904
4	0.5148047502
5	0.4962011412
6	0.481473136
7	0.4673940626
8	0.4560857807
9	0.4447327257
10	0.4367902062
11	0.4301726383
12	0.423232872
13	0.417322957
14	0.4128579369
15	0.4083726675
16	0.4031393473
17	0.3997699327
18	0.3946665941
19	0.3918414852
20	0.3877363536
21	0.383688529
22	0.381503442
23	0.37883475
24	0.3760992017
25	0.3738695999
26	0.3697871278
27	0.3674442648
28	0.3654273965
29	0.3635313808
30	0.3621992698
31	0.3590930606
32	0.3568127196
33	0.355086819
34	0.3539066546
35	0.3520844794
36	0.3501882008
37	0.3486351393
38	0.346836893
39	0.3449801239
40	0.3434960999
41	0.3420525572
42	0.3407748289
43	0.3397508293
44	0.3385070125
45	0.3366509998
46	0.3356235127
47	0.3345609028
48	0.3336078791
49	0.3319090587
50	0.3303363476
51	0.328114811
52	0.3267046459
53	0.3256177757
54	0.3245847661
55	0.3233660841
56	0.3220491559
57	0.3199915088
58	0.3190077936
59	0.3182829837
60	0.317264788
61	0.3159136758
62	0.31489541
63	0.3139495311
64	0.3122384774
65	0.3107292544
66	0.3097392228
67	0.3089802609
68	0.3081010907
69	0.3073157872
70	0.3058250844
71	0.3045453191
72	0.3033669665
73	0.3026721606
74	0.301609644
75	0.3005569795
76	0.2995908268
77	0.2982847238
78	0.2977223497
79	0.2965702643
80	0.2955157975
81	0.2947951777
82	0.2937219178
83	0.2917151166
84	0.2904254932
85	0.2892834779
86	0.288698734
87	0.2878594309
88	0.2870302529
89	0.2861066187
90	0.285435435
91	0.2846327104
92	0.2837115479
93	0.2827293238
94	0.2821924223
95	0.2811785115
96	0.2803657155
97	0.2789449005
98	0.2779991112
99	0.2771640776
100	0.2760669179
101	0.2752439162
102	0.2740064772
103	0.2731628133
104	0.2720386133
105	0.2712918168
106	0.2703889295
107	0.2693442493
108	0.2684529096
109	0.2675261379
110	0.2667513327
111	0.2664165127
112	0.2655044193
113	0.2650236608
114	0.2640809761
115	0.2632841838
116	0.2622236919
117	0.2614780297
118	0.2608496874
119	0.2602443886
120	0.2593144848
121	0.2587990888
122	0.258222666
123	0.2577258378
124	0.257244713
125	0.2563376453
