iter	Logloss
126	0.2557933573
127	0.2551590901
128	0.2544469985
129	0.2540391574
130	0.2532404727
131	0.2527388907
132	0.2519124286
133	0.2511269565
134	0.250170873
135	0.2497675459
136	0.2487744931
137	0.247995089
138	0.2472487092
139	0.2464672328
140	0.2458094985
141	0.2451194092
142	0.2445539058
143	0.2439443518
144	0.2432603639
145	0.2424392788
146	0.2416224988
147	0.2409721877
148	0.2401193022
149	0.2394469604
150	0.2388068355
151	0.2380873198
152	0.2376953139
153	0.2369803845
154	0.2363861219
155	0.2355790732
156	0.2350585534
157	0.2345201776
158	0.234095247
159	0.2335333104
160	0.2329454287
161	0.2326455225
162	0.2318019979
163	0.2312739438
164	0.2309637573
165	0.230461727
166	0.2301158785
167	0.2294981142
168	0.2289392462
169	0.2282650403
170	0.2279606921
171	0.2275401159
172	0.2268028312
173	0.2260472071
174	0.2256052011
175	0.2249866754
176	0.2244276471
177	0.2235811253
178	0.222789609
179	0.2223183759
180	0.221752304
181	0.2210207172
182	0.2205496526
183	0.2200529684
184	0.2195745867
185	0.2192021158
186	0.2184905356
187	0.2179419866
188	0.2172303218
189	0.2168020025
190	0.2165525097
191	0.2160130637
192	0.2153264278
193	0.2146695952
194	0.2140880325
195	0.2135897945
196	0.2129537113
197	0.212250151
198	0.2117831074
199	0.2114818857
200	0.2110128618
201	0.2105475237
202	0.2101067031
203	0.209494492
204	0.2090966517
205	0.208767007
206	0.20832529
207	0.2079530124
208	0.2076398608
209	0.2071203655
210	0.2063935359
211	0.2059880837
212	0.2055479107
213	0.204966572
214	0.2045344278
215	0.2039035801
216	0.2034696313
217	0.2032134571
218	0.2028806399
219	0.2023365418
220	0.2019465129
221	0.2016002184
222	0.2013728871
223	0.2011262636
224	0.2007754337
225	0.2002974797
226	0.1997869766
227	0.1990422844
228	0.1984897123
229	0.1980209495
230	0.1975718936
231	0.1972068709
232	0.1965735172
233	0.1960740773
234	0.1955581629
235	0.1951614296
236	0.1947307039
237	0.1942941312
238	0.1939777821
239	0.1934419997
240	0.193008928
241	0.1925130199
242	0.1921322077
243	0.1917605111
244	0.1911749867
245	0.1907546804
246	0.1904890193
247	0.1902286623
248	0.1899460506
249	0.1897348928
250	0.189207336
251	0.1888548713
252	0.1885186709
253	0.188183079
254	0.1879608229
255	0.1877354909
256	0.18717178
257	0.1868255683
258	0.1864344407
259	0.1860499901
260	0.1856939943
261	0.1855266257
262	0.1852918711
263	0.184716289
264	0.1842937134
265	0.1839907282
266	0.1838002204
267	0.1835453933
268	0.1831792073
269	0.1828736986
270	0.1824328976
271	0.1819514911
272	0.1816104781
273	0.1810939625
274	0.1807407311
275	0.1802975017
276	0.1798423838
277	0.1793528734
278	0.1790822014
279	0.1786037757
280	0.17798035
281	0.1776998712
282	0.1772329389
283	0.1768984568
284	0.1766036324
285	0.1764424911
286	0.1761016653
287	0.1758288586
288	0.1753290544
289	0.1749060685
290	0.1745342714
291	0.1741716325
292	0.1736803605
293	0.1734072571
294	0.1731798395
295	0.1726094051
296	0.1720569579
297	0.1716683704
298	0.1712130725
299	0.1708129452
300	0.1704382938
301	0.1701872197
302	0.1696674259
303	0.1691453035
304	0.1685245664
305	0.1682240489
306	0.1679302621
307	0.1677054272
308	0.1675267681
309	0.1671479858
310	0.1667285031
311	0.1664618053
312	0.1661536072
313	0.1659424581
314	0.1655942652
315	0.165402312
316	0.1650758423
317	0.1647964534
318	0.1643282043
319	0.164132477
320	0.1637945591
321	0.1633831031
322	0.1631276135
323	0.1628571662
324	0.1626840136
325	0.1622880301
326	0.1621578266
327	0.1617871147
328	0.1615982104
329	0.1612267989
330	0.1608334743
331	0.1607127729
332	0.1603187796
333	0.1599075167
334	0.1597979902
335	0.159551163
336	0.1590985994
337	0.1587406208
338	0.1584697129
339	0.1582032829
340	0.1579080656
341	0.157381418
342	0.1572029709
343	0.1569250186
344	0.1565659691
345	0.1563159425
346	0.156019048
347	0.1556839571
348	0.155471826
349	0.155149701
350	0.1549365809
351	0.1546839813
352	0.1543509745
353	0.1541203283
354	0.153851731
355	0.1535104981
356	0.1531856188
357	0.1527452443
358	0.1524264888
359	0.1521477282
360	0.1518009835
361	0.1516214679
362	0.1513257325
363	0.1508736002
364	0.1505319292
365	0.1502642912
366	0.1499257891
367	0.1495856603
368	0.1494780253
369	0.1491539783
370	0.1488437033
371	0.148411998
372	0.1481222471
373	0.1477542686
374	0.1476438427
375	0.147416584
376	0.1471014739
377	0.1468909226
378	0.146660811
379	0.1464522657
380	0.1461600614
381	0.1459185496
382	0.1455244053
383	0.1453249862
384	0.1450672189
385	0.1449322917
386	0.1447759819
387	0.1446680539
388	0.1444972472
389	0.144209238
390	0.1438689016
391	0.1437959908
392	0.14349087
393	0.1430890169
394	0.1428351854
395	0.142702571
396	0.1421702175
397	0.1420122504
398	0.1417894437
399	0.1413902746
400	0.1411044489
401	0.1408429758
402	0.1405674843
403	0.1402351561
404	0.1399368248
405	0.1396485477
406	0.1393240647
407	0.1391505103
408	0.138885801
409	0.1386515601
410	0.1383583648
411	0.138093016
412	0.1376767516
413	0.137453769
414	0.1372621186
415	0.1368400785
416	0.1366150176
417	0.1363998245
418	0.1361704536
419	0.1360181446
420	0.1357992424
421	0.1355904493
422	0.1354727085
423	0.1352031875
424	0.135067508
425	0.1347142028
426	0.134548862
427	0.1342463105
428	0.134098395
429	0.1339082456
430	0.133665164
431	0.1333515937
432	0.1330846258
433	0.132742855
434	0.1325510879
435	0.132281678
436	0.1321433969
437	0.132027305
438	0.1317910192
439	0.1316095544
440	0.1313349367
441	0.1310947175
442	0.1308446516
443	0.1306049106
444	0.1304075145
445	0.130280645
446	0.1301855341
447	0.1299416424
